         Age_diff (years)               Probability                 HPD_68.2%                 HPD_95.4% 
                     1205                 0.0108209                 0.0108209                 0.0108209 
                     1210                 0.0121453                 0.0121453                 0.0121453 
                     1215                 0.0123485                 0.0123485                 0.0123485 
                     1220                 0.0114072                 0.0114072                 0.0114072 
                     1225                 0.0107841                 0.0107841                 0.0107841 
                     1230                 0.0100323                 0.0100323                 0.0100323 
                     1235                0.00887906                         0                0.00887906 
                     1240                0.00826446                         0                0.00826446 
                     1245                0.00888625                         0                0.00888625 
                     1250                0.00880715                         0                0.00880715 
                     1255                0.00790377                         0                0.00790377 
                     1260                0.00741098                         0                0.00741098 
                     1265                0.00729608                         0                0.00729608 
                     1270                0.00585699                         0                0.00585699 
                     1275                0.00455343                         0                0.00455343 
                     1280                0.00582568                         0                0.00582568 
                     1285                0.00682365                         0                0.00682365 
                     1290                0.00634265                         0                0.00634265 
                     1295                0.00607257                         0                0.00607257 
                     1300                0.00584001                         0                0.00584001 
                     1305                0.00524665                         0                0.00524665 
                     1310                0.00426538                         0                0.00426538 
                     1315                0.00340262                         0                0.00340262 
                     1320                0.00364978                         0                0.00364978 
                     1325                0.00412166                         0                0.00412166 
                     1330                0.00318255                         0                0.00318255 
                     1335                 0.0028794                         0                 0.0028794 
                     1340                0.00263942                         0                0.00263942 
                     1345                0.00210879                         0                0.00210879 
                     1350                0.00207992                         0                0.00207992 
                     1355                0.00212849                         0                0.00212849 
                     1360                0.00196319                         0                         0 
                     1365                 0.0025758                         0                 0.0025758 
                     1370                0.00268224                         0                0.00268224 
                     1375                0.00224156                         0                0.00224156 
                     1380                 0.0021037                         0                 0.0021037 
                     1385                0.00196861                         0                         0 
                     1390                0.00172687                         0                         0 
                     1395                0.00170208                         0                         0 
                     1400                0.00144518                         0                         0 
                     1405                0.00130168                         0                         0 
                     1410                0.00146587                         0                         0 
                     1415                0.00127479                         0                         0 
                     1420                0.00120808                         0                         0 
                     1425                0.00107487                         0                         0 
                     1430                0.00110341                         0                         0 
                     1435                0.00112897                         0                         0 
                     1440               0.000997971                         0                         0 
                     1445               0.000898284                         0                         0 
                     1450               0.000898284                         0                         0 
                     1455               0.000673686                         0                         0 
                     1460               0.000483938                         0                         0 
                     1465               0.000428176                         0                         0 
                     1470               0.000282353                         0                         0 
                     1475               0.000282353                         0                         0 
                     1480                0.00026288                         0                         0 
                     1485                0.00026288                         0                         0 
                     1490               0.000135534                         0                         0 
                     1495               9.95758e-06                         0                         0 
                     1500               9.95758e-06                         0                         0 
                     1505               9.95758e-06                         0                         0 
                     1510               9.95758e-06                         0                         0 
                     1515               0.000135866                         0                         0 
                     1520               0.000261774                         0                         0 
                     1525               0.000261774                         0                         0 
                     1530               0.000262438                         0                         0 
                     1535               0.000262438                         0                         0 
                     1540               0.000145823                         0                         0 
                     1545               1.94726e-05                         0                         0 
                     1550               0.000145823                         0                         0 
                     1555               0.000262438                         0                         0 
                     1560               0.000262438                         0                         0 
                     1565               0.000261774                         0                         0 
                     1570               0.000261774                         0                         0 
                     1575               0.000136087                         0                         0 
                     1580                9.7363e-06                         0                         0 
                     1585                9.7363e-06                         0                         0 
                     1590               6.63839e-07                         0                         0 
                     1595               6.63839e-07                         0                         0 
                     1600                         0                         0                         0 
                     1605                         0                         0                         0 
                     1610                         0                         0                         0 
                     1615                         0                         0                         0 
                     1620                         0                         0                         0 
                     1625                         0                         0                         0 
                     1630                         0                         0                         0 
                     1635                         0                         0                         0 
                     1640                         0                         0                         0 
                     1645                         0                         0                         0 
                     1650                         0                         0                         0 
                     1655                         0                         0                         0 
                     1660                         0                         0                         0 
                     1665                         0                         0                         0 
                     1670                         0                         0                         0 
                     1675                         0                         0                         0 
                     1680                         0                         0                         0 
                     1685                         0                         0                         0 
                     1690                         0                         0                         0 
                     1695                         0                         0                         0 
                     1700                         0                         0                         0 
                     1705                         0                         0                         0 
                     1710                         0                         0                         0 
                     1715                         0                         0                         0 
                     1720                         0                         0                         0 
                     1725                         0                         0                         0 
