                 Age (BP)   Period_1 early boundary                  LuA-5456                  LuA-5455                  LuA-5454    Period_1 late boundary   Period_2 early boundary                  LuA-5453                  LuA-5452                  LuA-5445                  LuA-5451                  LuA-5450                  LuA-5449                  LuA-5448    Period_2 late boundary 
                     3150                         0                         0                         0                         0                         0                         0                         0              1.10495e-297              2.37776e-228              1.40464e-214              4.91106e-208              6.74896e-179                 0.0873854               1.66492e-07 
                     3155                         0                         0                         0                         0                         0                         0                         0              1.09967e-297              3.32773e-227              1.39792e-214              6.87311e-207              9.44529e-178                 0.0612073               1.66492e-07 
                     3160                         0                         0                         0                         0                         0                         0                         0                1.539e-296               3.3118e-227              1.95641e-213              6.84022e-207              9.40008e-178                 0.0436162                         0 
                     3165                         0                         0                         0                         0                         0                         0                         0              1.53164e-296              4.63493e-226              1.94705e-213              9.57302e-206              1.31556e-176                   0.02687                         0 
                     3170                         0                         0                         0                         0                         0                         0                         0              2.14355e-295              4.61274e-226              2.72493e-212               9.5272e-206              1.30926e-176                 0.0137419                         0 
                     3175                         0                         0                         0                         0                         0                         0                         0              2.13329e-295              6.45562e-225              2.71189e-212              1.33335e-204              1.83234e-175                0.00867346                         0 
                     3180                         0                         0                         0                         0                         0                         0                         0              2.98559e-294              6.42472e-225              3.79534e-211              1.32697e-204              1.82357e-175                0.00492288                         0 
                     3185                         0                         0                         0                         0                         0                         0                         0               2.9713e-294              8.99152e-224              3.77717e-211              1.85712e-203              2.55212e-174                0.00225977                         0 
                     3190                         0                         0                         0                         0                         0                         0                         0              4.15839e-293              8.94848e-224              5.28623e-210              1.84823e-203               2.5399e-174               0.000490464                         0 
                     3195                         0                         0                         0                         0                         0                         0                         0              4.13848e-293              1.25236e-222              5.26092e-210              2.58663e-202              3.55464e-173                4.4144e-05                         0 
                     3200                         0                         0                         0                         0                         0                         0                         0              5.79188e-292              1.24636e-222              7.36276e-209              2.57425e-202              3.53763e-173               3.16106e-06                         0 
                     3205                         0                         0                         0                         0                         0                         0                         0              5.76416e-292              1.74431e-221              7.32752e-209              3.60271e-201              4.95098e-172               3.16106e-06                         0 
                     3210                         0                         0                         0                         0                         0                         0                         0              8.06705e-291              1.73596e-221               1.0255e-207              3.58546e-201              4.92728e-172               2.21829e-07                         0 
                     3215                         0                         0                         0                         0                         0                         0                         0              8.02844e-291              2.42951e-220              1.02059e-207              5.01792e-200              6.89582e-171               2.21829e-07                         0 
                     3220                         0                         0                         0                         0                         0                         0                         0               1.1236e-289              2.41788e-220              1.42834e-206              4.99391e-200              6.86282e-171                         0                         0 
                     3225                         0                         0                         0                         0                         0                         0                         0              1.11822e-289              3.38387e-219               1.4215e-206              6.98907e-199              9.60464e-170                         0                         0 
                     3230                         0                         0                         0                         0                         0                         0                         0              1.56497e-288              3.36767e-219              1.98942e-205              6.95562e-199              9.55867e-170                         0                         0 
                     3235                         0                         0                         0                         0                         0                         0                         0              1.55748e-288              4.71312e-218               1.9799e-205              9.73452e-198              1.33775e-168                         0                         0 
                     3240                         0                         0                         0                         0                         0                         0                         0              2.17972e-287              4.69056e-218               2.7709e-204              9.68792e-198              1.33135e-168                         0                         0 
