         Mean_age (years)               Probability                 HPD_68.2%                 HPD_95.4% 
                    -3560               1.12815e-70                         0                         0 
                    -3555               1.12275e-70                         0                         0 
                    -3550                1.5713e-69                         0                         0 
                    -3545               1.56378e-69                         0                         0 
                    -3540               2.18854e-68                         0                         0 
                    -3535               2.17807e-68                         0                         0 
                    -3530               3.04825e-67                         0                         0 
                    -3525               3.03366e-67                         0                         0 
                    -3520               4.24566e-66                         0                         0 
                    -3515               4.22534e-66                         0                         0 
                    -3510               5.91345e-65                         0                         0 
                    -3505               5.88514e-65                         0                         0 
                    -3500               8.23637e-64                         0                         0 
                    -3495               8.19694e-64                         0                         0 
                    -3490               1.14718e-62                         0                         0 
                    -3485               1.14169e-62                         0                         0 
                    -3480               1.59781e-61                         0                         0 
                    -3475               1.59017e-61                         0                         0 
                    -3470               2.22547e-60                         0                         0 
                    -3465               2.21481e-60                         0                         0 
                    -3460               3.09968e-59                         0                         0 
                    -3455               3.08484e-59                         0                         0 
                    -3450               4.31729e-58                         0                         0 
                    -3445               4.29662e-58                         0                         0 
                    -3440               6.01321e-57                         0                         0 
                    -3435               5.98443e-57                         0                         0 
                    -3430               8.37532e-56                         0                         0 
                    -3425               8.33523e-56                         0                         0 
                    -3420               1.16653e-54                         0                         0 
                    -3415               1.16095e-54                         0                         0 
                    -3410               1.62477e-53                         0                         0 
                    -3405               1.61699e-53                         0                         0 
                    -3400               2.26301e-52                         0                         0 
                    -3395               2.25218e-52                         0                         0 
                    -3390               3.15197e-51                         0                         0 
                    -3385               3.13688e-51                         0                         0 
                    -3380               4.39012e-50                         0                         0 
                    -3375               4.36911e-50                         0                         0 
                    -3370               6.11466e-49                         0                         0 
                    -3365               6.08539e-49                         0                         0 
                    -3360               8.51662e-48                         0                         0 
                    -3355               8.47585e-48                         0                         0 
                    -3350               1.18621e-46                         0                         0 
                    -3345               1.18053e-46                         0                         0 
                    -3340               1.65218e-45                         0                         0 
                    -3335               1.64427e-45                         0                         0 
                    -3330               2.30119e-44                         0                         0 
                    -3325               2.29017e-44                         0                         0 
                    -3320               3.20514e-43                         0                         0 
                    -3315                3.1898e-43                         0                         0 
                    -3310               4.46419e-42                         0                         0 
                    -3305               4.44282e-42                         0                         0 
                    -3300               6.21781e-41                         0                         0 
                    -3295               6.18805e-41                         0                         0 
                    -3290                8.6603e-40                         0                         0 
                    -3285               8.61884e-40                         0                         0 
                    -3280               1.20622e-38                         0                         0 
                    -3275               1.20045e-38                         0                         0 
                    -3270               1.68005e-37                         0                         0 
                    -3265               1.67201e-37                         0                         0 
                    -3260               2.34001e-36                         0                         0 
                    -3255               2.32881e-36                         0                         0 
                    -3250               3.25922e-35                         0                         0 
                    -3245               3.24362e-35                         0                         0 
                    -3240                4.5395e-34                         0                         0 
                    -3235               4.51777e-34                         0                         0 
                    -3230               6.32271e-33                         0                         0 
                    -3225               6.29245e-33                         0                         0 
                    -3220                8.8064e-32                         0                         0 
                    -3215               8.76425e-32                         0                         0 
                    -3210               1.22657e-30                         0                         0 
                    -3205                1.2207e-30                         0                         0 
                    -3200                1.7084e-29                         0                         0 
                    -3195               1.70022e-29                         0                         0 
                    -3190               2.37949e-28                         0                         0 
                    -3185                2.3681e-28                         0                         0 
                    -3180                3.3142e-27                         0                         0 
                    -3175               3.29834e-27                         0                         0 
                    -3170               4.61609e-26                         0                         0 
                    -3165               4.59399e-26                         0                         0 
                    -3160               6.42938e-25                         0                         0 
                    -3155                6.3986e-25                         0                         0 
                    -3150               8.95497e-24                         0                         0 
                    -3145               8.91211e-24                         0                         0 
                    -3140               1.24727e-22                         0                         0 
                    -3135                1.2413e-22                         0                         0 
                    -3130               1.73722e-21                         0                         0 
                    -3125                1.7289e-21                         0                         0 
                    -3120               2.41963e-20                         0                         0 
                    -3115               2.40805e-20                         0                         0 
