   Phase_1 early boundary                  LuA-5456                  LuA-5455                  LuA-5454     Phase_1 late boundary    Phase_2 early boundary                  LuA-5453                  LuA-5452                  LuA-5445                  LuA-5451                  LuA-5450                  LuA-5449                  LuA-5448     Phase_2 late boundary 
                    11656                     11516                      9280                      8615                      8303                      7180                      6975                      5784                      5155                      5023                      4972                      4711                      3126                      2989 
                    11624                     11518                      9279                      8617                      8281                      7196                      6974                      5786                      5155                      5021                      4973                      4711                      3129                      3014 
                    11736                     11517                      9277                      8616                      8348                      7195                      6973                      5784                      5153                      5016                      4974                      4709                      3132                      3028 
                    11678                     11515                      9278                      8617                      8405                      7381                      6973                      5783                      5153                      5016                      4973                      4709                      3133                      2977 
                    11616                     11511                      9280                      8617                      8332                      7134                      6972                      5781                      5154                      5015                      4971                      4710                      3138                      3008 
                    11698                     11512                      9282                      8618                      8397                      7165                      6971                      5780                      5154                      5013                      4968                      4711                      3141                      2923 
                    11658                     11514                      9278                      8618                      8294                      7197                      6970                      5782                      5155                      5011                      4969                      4714                      3139                      3058 
                    11656                     11513                      9278                      8618                      8305                      7213                      6970                      5779                      5156                      5013                      4969                      4714                      3139                      2932 
                    11674                     11515                      9281                      8614                      8316                      7177                      6970                      5778                      5155                      5012                      4969                      4711                      3138                      2945 
                    11678                     11514                      9280                      8616                      8479                      7246                      6972                      5780                      5158                      5011                      4965                      4710                      3139                      3016 
                    11639                     11514                      9284                      8616                      8311                      7418                      6972                      5780                      5157                      5013                      4964                      4713                      3138                      2902 
                    11663                     11510                      9284                      8618                      8248                      7293                      6970                      5782                      5158                      5011                      4966                      4713                      3137                      3021 
                    11607                     11510                      9286                      8620                      8353                      7261                      6971                      5780                      5158                      5010                      4965                      4711                      3138                      3053 
                    11659                     11511                      9284                      8618                      8279                      7382                      6967                      5784                      5157                      5009                      4963                      4713                      3137                      3022 
                    11674                     11509                      9285                      8622                      8201                      7255                      6967                      5781                      5156                      5010                      4963                      4714                      3135                      3052 
                    11723                     11510                      9285                      8626                      8264                      7324                      6968                      5779                      5154                      5012                      4962                      4718                      3135                      3009 
                    11638                     11509                      9286                      8626                      8440                      7261                      6968                      5776                      5154                      5009                      4961                      4720                      3132                      2990 
                    11637                     11508                      9287                      8627                      8585                      7332                      6970                      5774                      5153                      5012                      4961                      4721                      3130                      3038 
                    11527                     11509                      9285                      8624                      8374                      7239                      6971                      5773                      5152                      5011                      4963                      4721                      3132                      3039 
                    11615                     11504                      9284                      8622                      8271                      7202                      6967                      5774                      5152                      5010                      4964                      4722                      3133                      2983 
                    11558                     11506                      9281                      8623                      8358                      7333                      6967                      5772                      5151                      5010                      4963                      4726                      3133                      2927 
                    11612                     11506                      9279                      8622                      8317                      7240                      6969                      5772                      5151                      5008                      4965                      4727                      3136                      3018 
                    11680                     11505                      9281                      8620                      8295                      7187                      6971                      5775                      5152                      5007                      4964                      4727                      3136                      2956 
                    11581                     11506                      9281                      8624                      8445                      7196                      6969                      5773                      5154                      5008                      4965                      4725                      3131                      3006 
                    11670                     11510                      9285                      8620                      8426                      7444                      6969                      5773                      5155                      5009                      4963                      4724                      3132                      2949 
                    11699                     11513                      9284                      8618                      8383                      7240                      6970                      5772                      5154                      5006                      4964                      4725                      3134                      2949 
                    11671                     11515                      9286                      8619                      8243                      7278                      6972                      5774                      5152                      5007                      4966                      4726                      3136                      3006 
                    11672                     11516                      9284                      8618                      8215                      7266                      6972                      5774                      5151                      5005                      4967                      4726                      3136                      2993 
                    11648                     11514                      9284                      8617                      8361                      7240                      6973                      5778                      5151                      5008                      4972                      4728                      3134                      3036 
                    11654                     11516                      9283                      8620                      8273                      7274                      6971                      5778                      5150                      5008                      4970                      4726                      3137                      3011 
                    11716                     11516                      9283                      8620                      8426                      7091                      6971                      5777                      5147                      5008                      4974                      4725                      3138                      3002 
                    11636                     11517                      9282                      8620                      8556                      7418                      6974                      5778                      5147                      5009                      4975                      4723                      3138                      3022 
                    11680                     11516                      9283                      8618                      8349                      7326                      6971                      5778                      5147                      5013                      4975                      4724                      3138                      3082 
                    11632                     11513                      9281                      8618                      8248                      7129                      6971                      5778                      5146                      5011                      4975                      4726                      3140                      2955 
                    11615                     11511                      9284                      8620                      8396                      7381                      6971                      5780                      5146                      5009                      4974                      4725                      3139                      2971 
                    11569                     11515                      9286                      8617                      8385                      7362                      6971                      5783                      5145                      5012                      4973                      4723                      3138                      2995 
                    11625                     11515                      9287                      8617                      8251                      7195                      6971                      5783                      5149                      5010                      4972                      4723                      3135                      3058 
                    11690                     11514                      9287                      8615                      8322                      7150                      6970                      5782                      5151                      5012                      4970                      4722                      3135                      3057 
                    11604                     11517                      9289                      8615                      8255                      7250                      6971                      5783                      5150                      5015                      4974                      4724                      3133                      3039 
                    11646                     11515                      9286                      8614                      8403                      7281                      6970                      5779                      5151                      5016                      4973                      4725                      3134                      2967 
                    11700                     11516                      9287                      8618                      8273                      7302                      6972                      5780                      5152                      5016                      4972                      4723                      3138                      3061 
                    11594                     11516                      9287                      8617                      8473                      7286                      6974                      5782                      5153                      5017                      4971                      4723                      3138                      2996 
                    11683                     11518                      9286                      8619                      8387                      7197                      6971                      5782                      5155                      5019                      4973                      4722                      3137                      3013 
                    11656                     11517                      9287                      8622                      8426                      7422                      6967                      5780                      5157                      5016                      4972                      4724                      3139                      2982 
                    11723                     11514                      9286                      8621                      8459                      7317                      6966                      5782                      5157                      5018                      4970                      4723                      3138                      2962 
                    11586                     11514                      9287                      8621                      8383                      7259                      6968                      5783                      5158                      5018                      4971                      4723                      3138                      3019 
                    11631                     11510                      9288                      8620                      8108                      7140                      6969                      5785                      5157                      5018                      4973                      4722                      3140                      3051 
                    11642                     11513                      9288                      8619                      8454                      7167                      6971                      5787                      5157                      5019                      4971                      4724                      3140                      2978 
                    11540                     11511                      9289                      8621                      8342                      7255                      6970                      5788                      5157                      5023                      4972                      4724                      3141                      3001 
                    11739                     11512                      9288                      8620                      8297                      7127                      6968                      5788                      5156                      5021                      4969                      4725                      3146                      3001 
                    11788                     11510                      9288                      8620                      8421                      7281                      6968                      5789                      5156                      5021                      4967                      4724                      3143                      3045 
                    11569                     11511                      9288                      8623                      8315                      7334                      6967                      5789                      5154                      5020                      4967                      4725                      3146                      3033 
                    11598                     11510                      9291                      8622                      8332                      7160                      6964                      5788                      5153                      5021                      4965                      4727                      3147                      3017 
                    11755                     11509                      9290                      8622                      8407                      7142                      6964                      5790                      5151                      5023                      4963                      4725                      3144                      3028 
                    11663                     11507                      9291                      8623                      8377                      7215                      6963                      5790                      5147                      5025                      4962                      4726                      3142                      2973 
                    11656                     11507                      9288                      8624                      8424                      7159                      6963                      5788                      5148                      5026                      4961                      4724                      3140                      3071 
                    11718                     11509                      9287                      8625                      8354                      7292                      6962                      5787                      5148                      5023                      4959                      4725                      3139                      3071 
                    11610                     11510                      9290                      8623                      8298                      7274                      6961                      5786                      5147                      5026                      4959                      4728                      3138                      3019 
                    11626                     11507                      9292                      8622                      8348                      7219                      6960                      5785                      5148                      5023                      4960                      4731                      3142                      3041 
                    11680                     11505                      9291                      8620                      8183                      7343                      6960                      5784                      5144                      5024                      4959                      4731                      3141                      2986 
                    11723                     11504                      9294                      8619                      8298                      7373                      6959                      5781                      5141                      5023                      4959                      4732                      3140                      3063 
                    11606                     11506                      9295                      8619                      8406                      7292                      6960                      5779                      5142                      5023                      4961                      4729                      3139                      3042 
                    11600                     11506                      9297                      8621                      8269                      7316                      6961                      5775                      5141                      5022                      4960                      4727                      3139                      3009 
                    11625                     11509                      9298                      8620                      8344                      7153                      6963                      5777                      5139                      5023                      4963                      4724                      3136                      3070 
                    11669                     11511                      9296                      8619                      8387                      7168                      6964                      5774                      5139                      5022                      4961                      4726                      3135                      2949 
                    11559                     11512                      9298                      8618                      8556                      7102                      6965                      5774                      5138                      5020                      4959                      4727                      3136                      2999 
                    11598                     11512                      9299                      8621                      8164                      7258                      6964                      5776                      5137                      5022                      4959                      4727                      3135                      2931 
                    11682                     11513                      9299                      8620                      8270                      7262                      6964                      5777                      5137                      5020                      4959                      4725                      3135                      3012 
                    11703                     11512                      9299                      8619                      8266                      7064                      6968                      5779                      5136                      5020                      4958                      4722                      3135                      3045 
                    11726                     11515                      9298                      8623                      8280                      7220                      6967                      5777                      5136                      5020                      4958                      4726                      3134                      3047 
                    11619                     11515                      9297                      8621                      8506                      7171                      6966                      5778                      5135                      5016                      4958                      4725                      3134                      2987 
                    11619                     11514                      9296                      8621                      8475                      7070                      6965                      5780                      5135                      5017                      4957                      4723                      3135                      3041 
                    11657                     11514                      9296                      8621                      8254                      7130                      6969                      5779                      5137                      5020                      4955                      4723                      3137                      3042 
                    11676                     11511                      9302                      8622                      8291                      7210                      6970                      5783                      5139                      5021                      4957                      4723                      3136                      3103 
                    11696                     11510                      9303                      8623                      8266                      7038                      6969                      5783                      5141                      5021                      4956                      4723                      3137                      2979 
                    11616                     11511                      9304                      8622                      8482                      7055                      6968                      5782                      5143                      5019                      4958                      4724                      3136                      3026 
                    11591                     11509                      9304                      8623                      8325                      7346                      6969                      5783                      5145                      5018                      4956                      4721                      3140                      3016 
                    11580                     11511                      9305                      8623                      8443                      7106                      6967                      5786                      5145                      5020                      4955                      4716                      3138                      3068 
                    11677                     11514                      9304                      8624                      8345                      7453                      6968                      5783                      5144                      5021                      4958                      4715                      3139                      3029 
                    11732                     11515                      9303                      8624                      8404                      7401                      6969                      5784                      5144                      5025                      4957                      4717                      3139                      3005 
                    11630                     11517                      9303                      8624                      8222                      7343                      6966                      5782                      5144                      5025                      4957                      4719                      3137                      3051 
                    11713                     11520                      9303                      8625                      8536                      7438                      6964                      5779                      5144                      5025                      4957                      4720                      3137                      3065 
                    11676                     11521                      9302                      8621                      8507                      7215                      6966                      5780                      5146                      5026                      4957                      4722                      3134                      2982 
                    11662                     11521                      9301                      8619                      8299                      7133                      6968                      5782                      5146                      5029                      4959                      4722                      3138                      3045 
                    11704                     11521                      9303                      8622                      8343                      7180                      6966                      5783                      5146                      5033                      4958                      4722                      3139                      3039 
                    11671                     11522                      9301                      8623                      8335                      7232                      6968                      5784                      5147                      5032                      4959                      4720                      3140                      3034 
                    11702                     11523                      9303                      8620                      8441                      7327                      6968                      5786                      5149                      5033                      4960                      4720                      3139                      3023 
                    11706                     11524                      9303                      8621                      8184                      7165                      6968                      5782                      5150                      5036                      4960                      4723                      3140                      2990 
                    11661                     11525                      9302                      8622                      8397                      7241                      6968                      5785                      5148                      5036                      4957                      4725                      3143                      3049 
                    11597                     11526                      9297                      8625                      8362                      7058                      6971                      5784                      5150                      5038                      4956                      4725                      3143                      3034 
                    11766                     11527                      9300                      8625                      8364                      7200                      6971                      5784                      5149                      5038                      4957                      4723                      3145                      3051 
                    11692                     11527                      9302                      8624                      8300                      7140                      6972                      5786                      5150                      5037                      4955                      4722                      3145                      3040 
                    11643                     11530                      9301                      8626                      8189                      7229                      6971                      5784                      5149                      5037                      4954                      4722                      3143                      3000 
                    11644                     11532                      9302                      8626                      8483                      7320                      6971                      5784                      5148                      5037                      4952                      4719                      3142                      3023 
                    11687                     11533                      9302                      8623                      8121                      7152                      6969                      5786                      5149                      5036                      4952                      4719                      3143                      3014 
                    11616                     11534                      9305                      8622                      8403                      7166                      6972                      5789                      5148                      5037                      4951                      4721                      3144                      2988 
                    11607                     11534                      9306                      8623                      8229                      7372                      6972                      5787                      5151                      5039                      4948                      4725                      3148                      2958 
                    11714                     11535                      9307                      8625                      8281                      7165                      6972                      5787                      5152                      5041                      4948                      4726                      3146                      3008 
                    11713                     11532                      9311                      8623                      8487                      7144                      6971                      5789                      5151                      5043                      4949                      4725                      3146                      2971 
                    11684                     11533                      9311                      8625                      8115                      7113                      6970                      5789                      5153                      5041                      4951                      4726                      3148                      3017 
                    11739                     11533                      9312                      8626                      8517                      7227                      6970                      5792                      5152                      5042                      4952                      4727                      3149                      2955 
                    11693                     11535                      9312                      8625                      8449                      7184                      6972                      5791                      5154                      5041                      4955                      4728                      3149                      2955 
                    11647                     11534                      9314                      8623                      8295                      7227                      6971                      5791                      5152                      5039                      4955                      4727                      3149                      3085 
                    11634                     11536                      9314                      8624                      8397                      7222                      6970                      5793                      5154                      5037                      4954                      4724                      3150                      3005 
                    11688                     11535                      9314                      8624                      8476                      7328                      6971                      5790                      5154                      5035                      4953                      4724                      3148                      2979 
                    11603                     11533                      9315                      8626                      8425                      7446                      6976                      5788                      5152                      5031                      4957                      4724                      3148                      3037 
                    11636                     11534                      9314                      8630                      8492                      7288                      6981                      5790                      5153                      5033                      4957                      4724                      3150                      3049 
                    11713                     11533                      9312                      8632                      8417                      7199                      6983                      5788                      5152                      5035                      4962                      4722                      3149                      3083 
                    11723                     11532                      9312                      8633                      8291                      7312                      6981                      5789                      5151                      5036                      4963                      4724                      3148                      3042 
                    11622                     11534                      9311                      8634                      8336                      7217                      6979                      5792                      5152                      5033                      4962                      4722                      3146                      3011 
                    11726                     11532                      9313                      8639                      8410                      7248                      6976                      5791                      5153                      5031                      4962                      4723                      3145                      2989 
                    11701                     11534                      9312                      8640                      8538                      7094                      6976                      5788                      5155                      5033                      4964                      4724                      3147                      3024 
                    11720                     11535                      9311                      8640                      8362                      7253                      6976                      5791                      5154                      5031                      4964                      4722                      3146                      3040 
                    11634                     11535                      9313                      8638                      8311                      7362                      6973                      5789                      5155                      5032                      4964                      4725                      3145                      2964 
                    11637                     11533                      9313                      8638                      8199                      7434                      6978                      5790                      5153                      5032                      4963                      4723                      3143                      3002 
                    11748                     11532                      9315                      8635                      8532                      7229                      6976                      5791                      5154                      5033                      4963                      4723                      3144                      3000 
                    11599                     11533                      9312                      8637                      8321                      7119                      6976                      5791                      5156                      5035                      4962                      4726                      3145                      2975 
                    11624                     11531                      9313                      8636                      8305                      7119                      6979                      5790                      5157                      5035                      4962                      4729                      3142                      3020 
                    11702                     11531                      9314                      8637                      8315                      7280                      6979                      5790                      5154                      5037                      4960                      4729                      3140                      2972 
                    11630                     11531                      9318                      8639                      8328                      7289                      6978                      5792                      5154                      5036                      4961                      4732                      3141                      3040 
                    11611                     11529                      9317                      8637                      8457                      7184                      6977                      5794                      5152                      5034                      4963                      4731                      3142                      3080 
                    11744                     11529                      9318                      8638                      8395                      7113                      6976                      5796                      5148                      5032                      4964                      4732                      3146                      3044 
                    11714                     11531                      9315                      8639                      8372                      7315                      6976                      5796                      5145                      5035                      4961                      4731                      3145                      3008 
